terme	article:fréquence
0	67939:1 68646:1 69540:1 70165:2 70923:1 71361:1 73190:1 73436:1 75792:1
00	69541:2 72932:1
000	67068:1 67071:1 67387:2 67794:2 67800:1 67801:1 67937:1 68274:1 68276:1 68387:2 68646:2 69537:1 69540:1 69541:1 69542:1 69543:1 69811:5 69814:1 69818:1 69821:3 70166:1 70167:1 70425:1 70746:1 70914:1 70916:2 70917:1 70923:1 72114:1 72115:3 72122:1 72397:1 72934:3 72935:1 73183:1 73432:1 73433:1 73438:1 73683:1 73684:7 73688:1 73878:1 73882:1 74173:1 74449:1 74453:1 74454:2 74744:1 74748:2 74749:1 75065:2 75066:1 75458:1 75795:2 75796:1 76208:1 76508:1 76510:5
1	67071:2 67387:1 67388:2 67799:1 67800:2 67801:1 67802:1 67940:2 68273:2 68277:1 68279:2 68383:1 68388:1 68389:2 68390:1 68391:1 68640:3 68641:2 68643:2 68646:1 68881:1 68882:2 68885:2 68889:1 69177:1 69178:2 69179:4 69182:1 69534:2 69537:1 69538:1 69540:3 69541:2 69811:2 69814:2 69815:1 69819:1 70424:1 70425:1 70743:3 70746:1 70915:3 70916:4 70921:1 71358:1 71360:2 71361:1 71362:1 71619:1 71841:1 72115:3 72117:2 72118:1 72121:2 72392:1 72394:2 72397:4 72631:2 72633:1 72634:2 72934:1 73184:2 73185:1 73187:1 73189:1 73431:3 73434:1 73683:4 73684:1 73687:1 73689:2 73875:1 73880:1 74171:1 74173:1 74451:1 74453:1 74749:2 75064:1 75065:1 75067:2 75069:2 75458:3 75792:1 75793:2 75794:1 75796:1 76210:2 76508:1 76509:1
10	67068:1 67390:1 67555:1 68273:1 68281:1 68383:1 68387:1 68638:2 68881:1 68882:1 68885:1 69179:1 69185:1 69814:1 69818:1 69821:1 70163:1 70167:1 70743:1 70744:1 70747:1 70751:1 70918:1 70921:1 71359:1 71360:1 71619:1 72115:1 72117:1 72633:1 72635:1 72933:1 72934:6 72937:1 73182:1 73434:1 73436:1 73683:2 73684:1 73688:1 74173:1 74748:1 75065:1 75458:2 75464:1 75795:2 75797:1 76212:1 76508:1 76512:1
100	67388:1 67801:1 67937:1 67941:1 68646:1 68883:1 69814:1 70165:1 70167:1 70425:1 70914:1 70916:1 70917:1 71836:2 72392:1 72934:2 73190:1 73432:1 73688:1 73878:1 74451:1 75065:1 75789:2 75792:2 75793:2
1000	69819:1 72118:2 73879:1
100b	67801:4
101	74449:1
1015	70425:1
1024	73879:1
105	68640:1 68883:2
106	67387:1 70167:1
109	70425:1
10èm	68383:1 74746:1
