token	idf
image	1.00806762
mon	1.25794509
secteur	0.57369835
totaliser	2.51321760
nobel	1.66811956
chance	1.55897509
pécresse	2.21218760
personne	0.65588510
instrument	1.28276868
coeur	0.94501588
arnaud	1.81424760
nous	0.44875961
bien	0.59413951
industriel	0.42685777
varier	1.25794509
départ	1.66811956
directeur	0.69367366
chronologie	2.21218760
sismique	2.51321760
montagn	1.91115761
travailler	0.72788777
pierrot	2.21218760
intéresser	0.68714280
humain	0.82302152
original	1.09824425
collaborateur	1.61012761
cnr	0.52199152
irm	2.03609635
retournement	2.51321760
époque	1.66811956
âgé	1.36708956
aller	0.37967869
acoustique	1.61012761
idée	0.79721426
application	0.63240401
focalisation	2.51321760
saint	1.25794509
janvier	1.02185591
roboticien	2.21218760
fondamental	1.25794509
établissement	0.93343400
10	0.78894173
produit	0.57871915
onde	1.33712634
publier	0.72788777
faire	0.40941388
incident	1.91115761
bel	1.36708956
ajout	1.15148976
français	0.54942977
terrain	1.21218760
grand	0.36092926
possible	0.79721426
mener	0.59940375
langevin	2.21218760
etc	1.51321760
déboucher	1.81424760
limiter	1.33712634
dire	0.62112300
fameux	1.47182491
distinction	1.91115761
second	0.67436851
renversement	2.51321760
échantillonner	2.21218760
observer	0.66811956
origine	1.11527759
passer	0.66811956
milieu	1.06605957
traval	0.52644587
vousc	2.51321760
1990	1.47182491
départemer	1.25794509
je	1.00806762
équipe	0.42331249
pari	0.59413951
fabriquer	1.21218760
qualifient	2.51321760
physicien	1.33712634
oeuvre	1.08185384
information	0.93343400
mathia	2.51321760
façon	0.84111974
supérieur	0.81424760
honorer	2.51321760
snecmer	2.21218760
tant	0.88996831
dassault	2.21218760
aéronautique	1.13300636
finir	1.51321760
réputé	1.33712634
excellent	1.81424760
focaliser	1.51321760
pluridisciplinarité	1.81424760
imagerie	1.36708956
nombre	0.80564742
personn	1.19099831
front	2.03609635
électronique	1.21218760
fin	0.75734274
j	1.11527759
composer	0.90043374
feu	2.03609635
espci	1.81424760
nouveau	0.26770493
ailleurs	0.90043374
poursuivre	0.90043374
concrétiser	1.91115761
jamais	1.02185591
recherche	0.24839978
créer	0.73506635
jacques	1.61012761
gille	1.81424760
laboratoire	0.82302152
tactile	2.03609635
contrôle	1.06605957
découvrir	0.96914956
connaisseur	2.21218760
revivre	2.21218760
filtre	1.91115761
carminatti	2.51321760
vert	1.73506635
progressivement	0.94501588
source	1.13300636
auxquels	1.23446400
obtenir	0.74978961
préserver	1.36708956
unité	0.81424760
esther	2.51321760
chercheur	0.30639172
upmc	1.36708956
pointe	1.11527759
mettre	0.49202830
biomédical	2.51321760
occasion	0.68070869
1992	1.73506635
luire	0.73506635
micro	1.21218760
ici	0.92215299
institut	0.50889623
certain	0.67436851
grâce	0.64398588
domotiqu	2.21218760
abord	1.36708956
65	1.61012761
enclin	2.21218760
ecole	0.74978961
multimédia	2.51321760
édition	0.76502957
pièce	1.55897509
dès	0.72082591
ville	1.28276868
aerospatial	2.51321760
photo	1.81424760
derrière	1.73506635
intact	2.51321760
temporel	1.91115761
aboutir	1.11527759
télécommunications	1.55897509
réémettre	2.21218760
enseignement	0.84111974
mixte	1.08185384
moment	1.23446400
partir	0.83197636
start	1.15148976
premier	0.24137599
adjoint	2.03609635
laisser	1.66811956
effet	1.08185384
000	0.74978961
rencontrer	1.33712634
médaill	1.47182491
envoyer	1.61012761
précis	1.55897509
physical	2.03609635
venez	2.03609635
emblé	1.28276868
financer	1.00806762
entreprise	0.41630759
métier	1.11527759
carrière	1.25794509
notre	0.56873493
rapprochement	1.91115761
âge	1.43403635
élastographie	2.51321760
isolé	1.51321760
avril	1.15148976
champ	1.23446400
public	0.74236559
miroir	2.03609635
imageur	1.81424760
prix	1.03609635
m	1.28276868
étendre	1.55897509
impérativement	2.21218760
innover	1.17079492
optique	1.39927425
voir	0.88996831
solide	1.11527759
1980	1.81424760
domaine	0.43403635
crée	2.21218760
chercher	1.30909762
charpak	2.51321760
ingénieur	0.72082591
publication	1.17079492
paristech	1.36708956
physique	1.03609635
compris	1.43403635
mur	1.91115761
marquante	2.51321760
compte	0.69367366
fois	0.53549399
médecine	1.55897509
qualifier	1.47182491
conclure	1.25794509
chimie	1.02185591
trois	0.56873493
delà	1.03609635
fink	2.51321760
tumeur	1.91115761
falloir	0.71387705
militaro	2.51321760
prêt	1.73506635
acousto	2.51321760
genne	2.51321760
particularité	1.43403635
scientifique	0.50889623
enregistrer	1.55897509
celui	0.79721426
toujours	0.86000509
2009	1.21218760
souhaiter	0.80564742
efficace	1.19099831
économiste	1.61012761
turboméca	2.51321760
peu	0.68070869
proposer	0.57871915
trouver	0.95691510
autour	0.55417621
vie	0.83197636
sympathique	2.21218760
ministre	1.39927425
technique	0.62672687
vous	0.82302152
remarquable	1.51321760
centaine	1.02185591
donne	1.51321760
poussée	2.51321760
ultrason	2.21218760
école	1.08185384
inverse	2.03609635
temps	0.63815634
quatre	1.11527759
être	0.22541587
lewiner	2.51321760
technologie	0.48791173
duflo	2.51321760
innovant	0.87974914
aventure	1.28276868
création	0.90043374
permettre	0.21655241
review	1.91115761
croire	1.33712634
endroit	1.81424760
230	2.21218760
vraiment	1.55897509
développer	0.40600763
transformer	1.66811956
boutade	2.51321760
commencèrent	2.51321760
vite	1.33712634
objet	0.85045977
corps	1.47182491
rencontre	1.03609635
aime	2.51321760
t	0.43767064
parvenir	0.94501588
développé	0.86976492
laboratoir	0.54473465
particulièrement	0.90043374
up	1.08185384
georges	1.81424760
réussite	1.51321760
papier	2.21218760
amuser	2.51321760
parcourir	1.66811956
avoir	0.28022149
amusant	2.51321760
plein	1.47182491
vouloir	1.43403635
régner	2.51321760
retrouver	1.23446400
détruire	1.91115761
reste	0.85045977
valérie	2.21218760
humour	1.51321760
pratiquer	1.55897509
tourin	2.51321760
il	0.43767064
inverser	1.91115761
attribuer	1.81424760
françois	1.47182491
genevièv	1.91115761
réputée	2.03609635
multi	1.73506635
an	0.44875961
pierre	1.02185591
rémi	2.21218760
rendu	2.03609635
concept	1.19099831
biologie	1.25794509
propice	2.03609635
innovation	0.55417621
brûler	2.21218760
unique	0.76502957
potentiel	1.06605957
pouvoir	0.24370466
diderot	1.81424760
27	1.47182491
industrie	0.68070869
cler	1.19099831
décerner	1.66811956
université	0.44133559
tout	0.39927425
adaptation	1.51321760
environnementau	1.33712634
organiser	0.84111974
transition	1.66811956
écologie	1.81424760
verte	1.61012761
discipline	1.23446400
