article	token	tfidf
67068	permettre	0.00156318
67068	premier	0.00191838
67385	lui	0.00199001
67068	être	0.00199399
67068	avoir	0.00203981
67068	pouvoir	0.00206730
67068	nouveau	0.00214452
67387	lequel	0.00224580
67068	développer	0.00232150
67068	mettre	0.00239654
67068	grand	0.00241602
67383	développement	0.00245410
67386	quelque	0.00246289
67071	tout	0.00247706
67388	présent	0.00249878
67383	important	0.00250503
67068	faire	0.00252026
67071	devoir	0.00252165
67068	aller	0.00252665
67068	recherche	0.00253124
67068	il	0.00254902
67388	terme	0.00257086
67068	équipe	0.00260526
67068	mener	0.00260897
67068	an	0.00261895
67383	nécessaire	0.00262409
67385	réaliser	0.00262815
67071	venir	0.00266169
67937	débuter	0.00267794
67071	agir	0.00268048
75458	mécénat	0.00268220
75458	klorane	0.00268220
75458	hostile	0.00268220
75458	dirigée	0.00268220
75458	transcontinental	0.00268220
75458	nigérian	0.00268220
75458	olusegun	0.00268220
75458	obasanjo	0.00268220
75458	sahélosaharien	0.00268220
75458	sad	0.00268220
75458	ougadougou	0.00268220
75458	densifier	0.00268220
75458	dune	0.00268220
75458	1973	0.00268220
75458	humide	0.00268220
75458	mousson	0.00268220
75458	zébu	0.00268220
75458	mouter	0.00268220
75458	chèvre	0.00268220
75458	climatologie	0.00268220
75458	perturber	0.00268220
75458	exercé	0.00268220
75458	7700	0.00268220
75458	ohm	0.00268220
75458	545	0.00268220
75458	alentours	0.00268220
75458	gmv	0.00268220
75458	méticuleux	0.00268220
75458	rémunérer	0.00268220
75458	allégemer	0.00268220
75458	corvée	0.00268220
75458	parer	0.00268220
75458	aménager	0.00268220
75458	commençaient	0.00268220
75458	réapparaître	0.00268220
75458	reboiser	0.00268220
75458	bétail	0.00268220
75458	résumée	0.00268220
75458	doctorer	0.00268220
75458	durcourneau	0.00268220
75458	herbe	0.00268220
75458	mordre	0.00268220
75458	maraîchage	0.00268220
75458	270	0.00268220
75458	cultivent	0.00268220
75458	cailler	0.00268220
75458	coucou	0.00268220
75458	mil	0.00268220
75458	hypertension	0.00268220
75458	prescrir	0.00268220
75458	dispensair	0.00268220
75458	bête	0.00268220
75458	dépense	0.00268220
75458	incesser	0.00268220
75458	instituteur	0.00268220
75458	curieusemer	0.00268220
75458	camion	0.00268220
75458	intelligemment	0.00268220
75458	lentement	0.00268220
75458	cnrst	0.00268220
75458	ouagadougou	0.00268220
75458	ugb	0.00268220
75458	usttb	0.00268220
75458	bamako	0.00268220
75458	mauritanie	0.00268220
75458	niger	0.00268220
75458	nigeria	0.00268220
75458	tchad	0.00268220
75458	soudan	0.00268220
75458	ethiopi	0.00268220
75458	erythré	0.00268220
75458	senegal	0.00268220
75458	raddiana	0.00268220
75458	ziziphus	0.00268220
75458	mauritania	0.00268220
